"sample","panel","col","estimate","se","R2"
"replication","C","d21_401k_ihs",1.04971787249959,0.282926288571666,0.05031926868517
"replication","C","d21_ira_ihs",0.469121168796626,0.239699078703898,0.0387537645674274
"replication","C","d21_other_ihs",0.000784096157696133,0.268991580019975,0.0687313233452814
"replication","C","d21_sec_ihs",0.0772811300013629,0.326751273231829,0.0503010842352515
"replication","C","d21_unsec_ihs",-0.0686886231240278,0.365689715994567,0.080801343892874
"replication","C","d21_car_ihs",-0.302664286476844,0.255592894247811,0.0764575418697759
"aligned","C","d21_401k_ihs",1.083361884826,0.283865744713485,0.0521230519799089
"aligned","C","d21_ira_ihs",0.491002290065725,0.23968196257563,0.0399531410668423
"aligned","C","d21_other_ihs",-0.00853055664213413,0.269518543147601,0.0686865294443439
"aligned","C","d21_sec_ihs",0.0807279369708111,0.328054309736352,0.0486686408155257
"aligned","C","d21_unsec_ihs",-0.0965232379603776,0.36598444968399,0.0813367347915051
"aligned","C","d21_car_ihs",-0.263471777349437,0.25445397775126,0.0764694501266813
"raw","C","d21_401k_ihs",0.981023094295193,0.246411110926491,0.0545743042993736
"raw","C","d21_ira_ihs",0.503426018583072,0.204543193404183,0.0409216091815482
"raw","C","d21_other_ihs",0.0457584318274296,0.227168316178454,0.0674779008730941
"raw","C","d21_sec_ihs",-0.0460281101287102,0.275377668859948,0.0539276299337544
"raw","C","d21_unsec_ihs",-0.0655187573727849,0.318385860533305,0.0894979527705793
"raw","C","d21_car_ihs",-0.21526416097547,0.21600886544389,0.0665204661198072
